seconds,coverage,time
2,.2648296976655185,1561
4,.2662648296976655,1628
6,.2652123995407577,1654
8,.2664561806352851,1570
10,.2743972445464982,1641
12,.2648296976655185,1674
14,.2660734787600459,1675
16,.2727707615767317,1627
18,.2654994259471871,1522
20,.2662648296976655,1601
