seconds,coverage,time
2,.0315729047072330,1589
4,.0318599311136624,1625
6,.0319556065824722,1643
8,.0314772292384232,1405
10,.0320512820512820,1608
12,.0318599311136624,1583
14,.0317642556448526,1693
16,.0319556065824722,1565
18,.0318599311136624,1689
20,.0321469575200918,1552
