seconds,class,coverage,time
7,org.jsoup.parser.Tag,0.9385742399802464,18267
7,org.jsoup.parser.Parser,0.9153603749191984,19720
7,org.jsoup.parser.CharacterReader,0.9380575542428793,64318
7,org.jsoup.parser.HtmlTreeBuilderState,0.42540616107471374,11160
7,org.jsoup.parser.TokeniserState,0.425,11363
7,org.jsoup.parser.HtmlTreeBuilder,0.5205922051648136,29878
8,org.jsoup.parser.ParseError,0.9722222222222222,10832
8,org.jsoup.parser.TreeBuilder,0.7056037342910049,16931
8,org.jsoup.parser.Token,0.9370674814667919,26481
8,org.jsoup.parser.TokenQueue,0.9247873522238245,65540
8,org.jsoup.parser.Tokeniser,0.7244771534727057,24717
8,org.jsoup.parser.ParseSettings,0.9625,14010
8,org.jsoup.parser.ParseErrorList,0.9411764705882353,10830
8,org.jsoup.parser.XmlTreeBuilder,0.7542142803062938,19219
8,org.jsoup.parser.Tag,0.9296092678527814,19060
8,org.jsoup.parser.Parser,0.893888433727695,22922
8,org.jsoup.parser.CharacterReader,0.9546608696266825,70851
8,org.jsoup.parser.HtmlTreeBuilderState,0.42540616107471374,12117
8,org.jsoup.parser.TokeniserState,0.425,11554
8,org.jsoup.parser.HtmlTreeBuilder,0.5985027387198367,36292
9,org.jsoup.parser.ParseError,0.9722222222222222,11609
9,org.jsoup.parser.TreeBuilder,0.7987204706757951,19279
9,org.jsoup.parser.Token,0.9550251126184435,26172
9,org.jsoup.parser.TokenQueue,0.9364647568573236,65215
9,org.jsoup.parser.Tokeniser,0.7438124727124842,26418
9,org.jsoup.parser.ParseSettings,0.9625,15676
9,org.jsoup.parser.ParseErrorList,0.9411764705882353,11568
9,org.jsoup.parser.XmlTreeBuilder,0.6908726708804248,19585
9,org.jsoup.parser.Tag,0.9410130868061055,20371
9,org.jsoup.parser.Parser,0.9143099547511312,28368
9,org.jsoup.parser.CharacterReader,0.9272807345391283,59086
9,org.jsoup.parser.HtmlTreeBuilderState,0.42540616107471374,13228
9,org.jsoup.parser.TokeniserState,0.425,12798
9,org.jsoup.parser.HtmlTreeBuilder,0.49978456129644566,40511
10,org.jsoup.parser.ParseError,0.9722222222222222,12618
10,org.jsoup.parser.TreeBuilder,0.6939585659138903,16954
10,org.jsoup.parser.Token,0.9505608269041578,27373
10,org.jsoup.parser.TokenQueue,0.9368609533707942,63286
10,org.jsoup.parser.Tokeniser,0.7482775684482975,27630
10,org.jsoup.parser.ParseSettings,0.9625,15815
10,org.jsoup.parser.ParseErrorList,0.9411764705882353,12412
10,org.jsoup.parser.XmlTreeBuilder,0.7695224733768286,21609
10,org.jsoup.parser.Tag,0.9422507105684816,22212
10,org.jsoup.parser.Parser,0.893888433727695,22545
10,org.jsoup.parser.CharacterReader,0.9429797479113735,71956
10,org.jsoup.parser.HtmlTreeBuilderState,0.42540616107471374,14332
10,org.jsoup.parser.TokeniserState,0.425,14076
10,org.jsoup.parser.HtmlTreeBuilder,0.5104462301413779,32548
11,org.jsoup.parser.ParseError,0.9722222222222222,13563
11,org.jsoup.parser.TreeBuilder,0.6909823754376998,18043
11,org.jsoup.parser.Token,0.952610927341355,26134
11,org.jsoup.parser.TokenQueue,0.9314280033084144,65068
11,org.jsoup.parser.Tokeniser,0.8056116356020767,27210
11,org.jsoup.parser.ParseSettings,0.9625,16494
11,org.jsoup.parser.ParseErrorList,0.9411764705882353,13463
11,org.jsoup.parser.XmlTreeBuilder,0.7875631802647828,22376
11,org.jsoup.parser.Tag,0.9308468916151577,22643
11,org.jsoup.parser.Parser,0.9164107950872658,27612
11,org.jsoup.parser.CharacterReader,0.9422020794373841,75204
11,org.jsoup.parser.HtmlTreeBuilderState,0.42540616107471374,15463
11,org.jsoup.parser.TokeniserState,0.425,16061
11,org.jsoup.parser.HtmlTreeBuilder,0.5806835745745036,46117
12,org.jsoup.parser.ParseError,0.9722222222222222,15357
12,org.jsoup.parser.TreeBuilder,0.7064585659138902,21960
12,org.jsoup.parser.Token,0.9550251126184435,37160
12,org.jsoup.parser.TokenQueue,0.9218644938502765,72379
12,org.jsoup.parser.Tokeniser,0.7459839904666461,32465
12,org.jsoup.parser.ParseSettings,0.9625,18157
12,org.jsoup.parser.ParseErrorList,0.9411764705882353,14491
12,org.jsoup.parser.XmlTreeBuilder,0.6891049941127481,24112
12,org.jsoup.parser.Tag,0.9422507105684816,27454
12,org.jsoup.parser.Parser,0.8917875933915606,29064
12,org.jsoup.parser.CharacterReader,0.9357982515664423,64227
