seconds,coverage,time
2,.0041140451588212,1559
4,.0371220818982013,1643
6,.0777841561423650,1559
8,.1092613853807883,1605
10,.1455223880597014,1660
12,.1299272866437045,1833
14,.1249521622655951,1583
16,.1252391886720244,1660
18,.1260045924225028,1714
20,.1428434749330271,1581
